setting,seed,method,onmi,modularity,f1,acc_all,acc_clean,acc_bad,auroc_agree,dprime,ovl,agree_mean,agree_sd,agree_gt08,alpha_mean,conf_mean,n_both,n_bad,eff_rank,n_comp,cv_corr,train_corr,cv_cos,train_cos,cv_cos_sd,cv_cos_gt08,note,error,secs
mis~B|fakeddit_real_lcc|q0.4,4,ref:spectral,0.4853990663354735,0.6580580110414461,0.6095959037605354,0.6638513513513513,0.6764705882352942,0.6504065040650406,,,,,,,,,,,,,,,,,,,,,0.08
mis~B|fakeddit_real_lcc|q0.4,4,ref:kmeans_content,0.039378584581881926,0.13693662326176556,0.25067346701384013,0.375,0.47058823529411764,0.24390243902439024,,,,,,,,,,,,,,,,,,,,,0.17
mis~B|fakeddit_real_lcc|q0.4,4,ref:louvain,0.3132431794118209,0.9112186617370746,0.6275532403387196,0.3260135135135135,0.3029411764705882,0.35772357723577236,,,,,,,,,,,,,,,,,,,,,0.11
mis~B|fakeddit_real_lcc|q0.4,4,ref:structure_only,0.16312667245490853,0.7179566101631203,0.2764694047965887,0.3260135135135135,0.3352941176470588,0.3170731707317073,,,,,,,,,,,,,,,,,,,,,0.05
H~B|crisismmd|q0.0,0,cv|r2|c4,,,,,,,,,,,,,,,,,384,4,0.05209648644034095,0.9898770238832449,0.04989396178269885,0.9826773448055801,0.5001104005949767,0.065,,,4.05
H~B|crisismmd|q0.0,0,cv|r2|c8,,,,,,,,,,,,,,,,,384,8,0.04609442767067008,0.9889173445264344,0.038443446520691746,0.9837839154156482,0.34878689917866434,0.0075,,,7.41
H~B|crisismmd|q0.0,0,cv|r2|c16,,,,,,,,,,,,,,,,,384,16,0.03708304529658921,0.9895239214511593,0.03541828736799195,0.9854533248642511,0.2412142903021095,0.00125,,,16.38
H~B|crisismmd|q0.0,0,cv|r4|c4,,,,,,,,,,,,,,,,,200,4,0.27828463575304174,0.9385366193291285,0.21973328227396985,0.8933571746194546,0.4945570084102808,0.115,,,2.08
H~B|crisismmd|q0.0,0,cv|r4|c8,,,,,,,,,,,,,,,,,200,8,0.2554427725161731,0.930358350610027,0.22206193178945588,0.8999934558271392,0.3499506013154249,0.03375,,,3.19
H~B|crisismmd|q0.0,0,cv|r4|c16,,,,,,,,,,,,,,,,,200,16,0.20697039324250865,0.9158439433323501,0.19137725877679065,0.8883174524339784,0.27193544068295744,0.00625,,,5.58
H~B|crisismmd|q0.0,0,cv|r8|c4,,,,,,,,,,,,,,,,,100,4,0.5432457447750909,0.8238298511878834,0.43975452457991837,0.7526666775352009,0.4659381731296668,0.28625,,,0.76
H~B|crisismmd|q0.0,0,cv|r8|c8,,,,,,,,,,,,,,,,,100,8,0.44274476900162424,0.7929657077548476,0.3823295140654606,0.7415431736979021,0.3617299899904241,0.11875,,,1.08
H~B|crisismmd|q0.0,0,cv|r8|c16,,,,,,,,,,,,,,,,,100,16,0.34790250622916946,0.7454763049325522,0.32211630992269846,0.710517889299995,0.27955704750695676,0.02625,,,1.67
H~B|crisismmd|q0.0,0,cv|r16|c4,,,,,,,,,,,,,,,,,50,4,0.6092573955294848,0.7516903258212885,0.5031431129049202,0.6610554591284249,0.4361064687926671,0.32125,,,0.41
H~B|crisismmd|q0.0,0,cv|r16|c8,,,,,,,,,,,,,,,,,50,8,0.5156601136141108,0.691359202827441,0.46677647973015646,0.6357326941395477,0.3357284963837265,0.16875,,,0.53
H~B|crisismmd|q0.0,0,cv|r16|c16,,,,,,,,,,,,,,,,,50,16,0.40075677080996747,0.6019495020291545,0.37381811109109203,0.5673113961127044,0.2668176592854161,0.03125,,,0.72
H~B|crisismmd|q0.0,0,cv|r32|c4,,,,,,,,,,,,,,,,,25,4,0.6082506374634451,0.6941025176061537,0.5124934391588984,0.6120156540113384,0.42890903862146645,0.3425,,,0.33
H~B|crisismmd|q0.0,0,cv|r32|c8,,,,,,,,,,,,,,,,,25,8,0.5025565692392073,0.6059015744256329,0.468103549260409,0.5641876197575835,0.3321143547963707,0.1625,,,0.36
H~B|crisismmd|q0.0,0,cv|r32|c16,,,,,,,,,,,,,,,,,25,16,0.3797318143493983,0.47216586778684516,0.3691949904649547,0.45330416349227354,0.26730960036462,0.025,,,0.41
H~B|crisismmd|q0.0,0,cv|r64|c4,,,,,,,,,,,,,,,,,12,4,0.5746138975776508,0.6184782206382197,0.46740572503666955,0.5115243529379411,0.4639863035729426,0.31,,,0.24
H~B|crisismmd|q0.0,0,cv|r64|c8,,,,,,,,,,,,,,,,,12,8,0.4442568209287403,0.48550958604300504,0.41061165457281934,0.44635387799738685,0.3507715146779478,0.13875,,,0.23
H~B|crisismmd|q0.0,0,cv|r64|c16,,,,,,,,,,,,,,,,,12,,,,,,,,skip:eff_rank<common_dim,,0.0
H~B|crisismmd|q0.0,1,cv|r2|c4,,,,,,,,,,,,,,,,,384,4,0.07593893251435166,0.989936716164765,0.08046062624553235,0.9835760478509128,0.496589093624696,0.07375,,,4.34
