exp,dataset,variant,seed,cond,metric,value
B,crisismmd,default,4,content_sensitivity,spearman_flip,-0.44885044509787486
B,crisismmd,default,4,content_flip_margin,auc_flip,0.9432363678939022
B,crisismmd,default,4,content_flip_margin,spearman_flip,0.5882840399713039
B,crisismmd,default,4,alpha,auc_flip,0.5959383082670755
B,crisismmd,default,4,alpha,spearman_flip,0.1273338102727105
B,crisismmd,default,4,normshare,auc_flip,0.6027610137199179
B,crisismmd,default,4,normshare,spearman_flip,0.1363892240836394
B,crisismmd,default,4,structure_sensitivity_neg,auc_flip,0.8216410682164107
B,crisismmd,default,4,structure_sensitivity_neg,spearman_flip,0.42689707058588816
B,crisismmd,default,4,intervention_flip,agreement,0.8525
B,crisismmd,default,4,intervention_flip,precision,0.9310344827586207
B,crisismmd,default,4,intervention_flip,recall,0.1888111888111888
B,crisismmd,default,4,all,mean_content_sensitivity,0.2014062374768862
B,crisismmd,default,4,all,mean_structure_sensitivity,0.12457799336289282
_,crisismmd,default,4,core|crisismmd|default|4,_done,2.03
A,crisismmd,robust,0,nbr,n_rules,6.0
A,crisismmd,robust,0,nbr,coverage,0.9525
A,crisismmd,robust,0,nbr,fidelity,0.895
A,crisismmd,robust,0,nbr,precision_covered,0.9396325459317585
A,crisismmd,robust,0,nbr,majority,0.255
A,crisismmd,robust,0,nbr,fidelity_with_fallback,0.93625
A,crisismmd,robust,0,old,fidelity,0.29875
A,crisismmd,robust,0,old,n_rules,5.0
A,crisismmd,robust,0,curve|r1,fidelity,0.255
A,crisismmd,robust,0,curve|r1,coverage,0.29875
A,crisismmd,robust,0,curve|r2,fidelity,0.495
A,crisismmd,robust,0,curve|r2,coverage,0.56375
A,crisismmd,robust,0,curve|r3,fidelity,0.7325
A,crisismmd,robust,0,curve|r3,coverage,0.81625
A,crisismmd,robust,0,curve|r4,fidelity,0.82875
A,crisismmd,robust,0,curve|r4,coverage,0.9025
A,crisismmd,robust,0,curve|r5,fidelity,0.8925
A,crisismmd,robust,0,curve|r5,coverage,0.94875
A,crisismmd,robust,0,curve|r6,fidelity,0.895
A,crisismmd,robust,0,curve|r6,coverage,0.9525
A,crisismmd,robust,0,tree|L2,train,0.4925
A,crisismmd,robust,0,tree|L2,cv,0.46875
A,crisismmd,robust,0,tree|L3,train,0.72875
A,crisismmd,robust,0,tree|L3,cv,0.725
A,crisismmd,robust,0,tree|L4,train,0.83375
A,crisismmd,robust,0,tree|L4,cv,0.83125
A,crisismmd,robust,0,tree|L6,train,0.93125
A,crisismmd,robust,0,tree|L6,cv,0.92125
A,crisismmd,robust,0,tree|L8,train,0.935
A,crisismmd,robust,0,tree|L8,cv,0.92125
A,crisismmd,robust,0,tree|L12,train,0.95125
A,crisismmd,robust,0,tree|L12,cv,0.9199999999999999
A,crisismmd,robust,0,tree|L16,train,0.9575
A,crisismmd,robust,0,tree|L16,cv,0.915
A,crisismmd,robust,0,tree|L24,train,0.96625
A,crisismmd,robust,0,tree|L24,cv,0.9137500000000001
B,crisismmd,robust,0,all,n_with_content,800
B,crisismmd,robust,0,all,n_nodes,800
B,crisismmd,robust,0,all,refit_fallback,0
B,crisismmd,robust,0,all,flip_rate_refit,0.12
B,crisismmd,robust,0,all,flip_rate_seed_noise,0.01
B,crisismmd,robust,0,content_sensitivity,auc_flip,0.455669981060606
B,crisismmd,robust,0,content_sensitivity,spearman_flip,-0.0499023316581969
B,crisismmd,robust,0,content_flip_margin,auc_flip,0.9455936316287878
B,crisismmd,robust,0,content_flip_margin,spearman_flip,0.5016050460235647
B,crisismmd,robust,0,alpha,auc_flip,0.591323390151515
B,crisismmd,robust,0,alpha,spearman_flip,0.10280280073244034
B,crisismmd,robust,0,normshare,auc_flip,0.6007043087121211
B,crisismmd,robust,0,normshare,spearman_flip,0.11336290696451538
B,crisismmd,robust,0,structure_sensitivity_neg,auc_flip,0.922170928030303
B,crisismmd,robust,0,structure_sensitivity_neg,spearman_flip,0.4752380930813331
B,crisismmd,robust,0,intervention_flip,agreement,0.8975
B,crisismmd,robust,0,intervention_flip,precision,0.5813953488372093
B,crisismmd,robust,0,intervention_flip,recall,0.5208333333333334
B,crisismmd,robust,0,all,mean_content_sensitivity,0.19344923144090026
B,crisismmd,robust,0,all,mean_structure_sensitivity,0.2572664400899508
_,crisismmd,robust,0,core|crisismmd|robust|0,_done,2.09
A,crisismmd,robust,2,nbr,n_rules,7.0
A,crisismmd,robust,2,nbr,coverage,0.77625
A,crisismmd,robust,2,nbr,fidelity,0.68125
A,crisismmd,robust,2,nbr,precision_covered,0.8776167471819646
A,crisismmd,robust,2,nbr,majority,0.2375
A,crisismmd,robust,2,nbr,fidelity_with_fallback,0.745
A,crisismmd,robust,2,old,fidelity,0.2575
A,crisismmd,robust,2,old,n_rules,5.0
A,crisismmd,robust,2,curve|r1,fidelity,0.2375
A,crisismmd,robust,2,curve|r1,coverage,0.27125
A,crisismmd,robust,2,curve|r2,fidelity,0.475
A,crisismmd,robust,2,curve|r2,coverage,0.5275
A,crisismmd,robust,2,curve|r3,fidelity,0.5725
A,crisismmd,robust,2,curve|r3,coverage,0.6225
A,crisismmd,robust,2,curve|r4,fidelity,0.6025
A,crisismmd,robust,2,curve|r4,coverage,0.7175
A,crisismmd,robust,2,curve|r5,fidelity,0.66875
A,crisismmd,robust,2,curve|r5,coverage,0.765
A,crisismmd,robust,2,curve|r6,fidelity,0.67625
A,crisismmd,robust,2,curve|r6,coverage,0.77
A,crisismmd,robust,2,curve|r7,fidelity,0.68125
A,crisismmd,robust,2,curve|r7,coverage,0.77625
A,crisismmd,robust,2,tree|L2,train,0.47375
A,crisismmd,robust,2,tree|L2,cv,0.47125000000000006
A,crisismmd,robust,2,tree|L3,train,0.65375
A,crisismmd,robust,2,tree|L3,cv,0.6525
