method,dataset,seed,k_used,modularity,onmi,f1,mean_umax,frac_multi,rule_fidelity,m_used,error,secs
kmsoft|raw,fakeddit@r0.02,2,10,0.36568014178544495,0.7412209407817677,0.7301973265783377,0.7278012950616719,0.2975,0.18166666666666667,,,2.28
kmsoft|raw,fakeddit@r0.02,1,10,0.37850853827721603,0.852386524683383,0.8160838566724106,0.7533967129260168,0.38083333333333336,0.23166666666666666,,,2.33
gmm|cca,fakeddit@r0.02,0,10,0.4121007371908114,0.8454524290623182,0.8381737881838378,0.9715193156312026,0.051666666666666666,0.21916666666666668,,,2.28
gmm|cca,fakeddit@r0.02,1,10,0.5078560280464441,0.9528829533214319,0.9831037170299552,0.9968896295241626,0.005833333333333334,0.33416666666666667,,,2.28
gmm|cca,fakeddit@r0.02,2,10,0.40373872436950714,0.8380887312987058,0.8413475257891374,0.9622807078309585,0.07583333333333334,0.21583333333333332,,,2.25
gmm|raw,fakeddit@r0.02,0,10,0.41476631768168676,0.8591332340506692,0.854203692778858,0.9783634696235686,0.03833333333333333,0.23166666666666666,,,2.41
gmm|raw,fakeddit@r0.02,1,10,0.39252334195601085,0.7574445210842244,0.7308129556627169,0.9796084584111365,0.035833333333333335,0.23416666666666666,,,2.33
gmm|raw,fakeddit@r0.02,2,10,0.3902556381721038,0.7481422244203932,0.727039304094572,0.9757457699840693,0.04583333333333333,0.20833333333333334,,,2.22
fcmad|cca,fakeddit@r0.02,0,10,0.3964577198125426,0.6466968969631317,0.7218126045128528,0.5810088638661122,0.30666666666666664,0.21,1.3,,2.39
fcmad|cca,fakeddit@r0.02,1,10,0.39378819136808274,0.6415156978182924,0.7205854671807471,0.5815426870936017,0.2633333333333333,0.22166666666666668,1.3,,2.44
fcmad|cca,fakeddit@r0.02,2,10,0.40475410887150315,0.6971819962026509,0.7317802357455333,0.567546494755528,0.2833333333333333,0.21416666666666667,1.3,,2.14
fcmad|raw,fakeddit@r0.02,0,10,0.39885436648019545,0.8706863270505321,0.8619826051854176,0.6737510778023981,0.33916666666666667,0.23833333333333334,1.3,,2.34
fcmad|raw,fakeddit@r0.02,1,10,0.3750751910944357,0.7885121598139627,0.7493328259076395,0.6392315933824853,0.385,0.2375,1.3,,2.34
fcmad|raw,fakeddit@r0.02,2,10,0.3989177683723273,0.8238019857447301,0.746724953498323,0.5965611344730418,0.34833333333333333,0.23,1.3,,2.2
specsoft|cca,fakeddit@r0.02,0,10,0.5134669669729814,0.9752566960328881,0.9918240069101565,1.0,0.0,0.3333333333333333,,,2.22
specsoft|cca,fakeddit@r0.02,1,10,0.47809313522272034,0.8319776165590671,0.8477679461801358,1.0,0.0,0.335,,,2.2
specsoft|cca,fakeddit@r0.02,2,10,0.4778393213805185,0.8220574598386596,0.8806561607197196,1.0,0.0,0.3408333333333333,,,2.25
specsoft|raw,fakeddit@r0.02,0,10,0.4535709554797321,0.8528675668423876,0.8726460791251849,1.0,0.0,0.31833333333333336,,,2.34
base:spectral_graph+content,fakeddit@r0.02,0,10,0.4631576532419865,0.7098674228440214,0.840437480610898,,,,,,0.3
base:spectral_graph+content,fakeddit@r0.02,1,10,0.470920615908303,0.697042236926537,0.8163414510328881,,,,,,0.27
base:spectral_graph+content,fakeddit@r0.02,2,10,0.4751768653687355,0.7422167550807666,0.8423698922486833,,,,,,0.38
base:kmeans_content,fakeddit@r0.02,0,10,0.1491189185316166,0.08148429537517676,0.27069755766412107,,,,,,0.76
base:kmeans_content,fakeddit@r0.02,1,10,0.13161956821510834,0.05281184324661137,0.3080640691677653,,,,,,0.58
base:louvain,fakeddit@r0.02,0,9,0.5141357672297695,0.8871096653038846,0.9725144909420155,,,,,,0.2
base:louvain,fakeddit@r0.02,1,6,0.5085415584559037,0.6698911228429015,0.8886919228655067,,,,,,0.19
specsoft|raw,fakeddit@r0.02,1,10,0.4823320124445535,0.844372855134952,0.8810285957690042,0.9999999999999984,0.0,0.31583333333333335,,,2.2
base:kmeans_content,fakeddit@r0.02,2,10,0.14725371300732876,0.08074720016748604,0.27483072454287527,,,,,,0.55
specsoft|raw,fakeddit@r0.02,2,10,0.48180300543057375,0.8342706568538609,0.877200615275847,1.0,0.0,0.3375,,,2.05
base:louvain,fakeddit@r0.02,2,8,0.5114601951986397,0.8051911976919354,0.9431009515510316,,,,,,0.19
default,fakeddit@r0.1,2,10,0.29097554427233113,0.17739385290408238,0.1738325439088338,0.13656631978577566,0.0,0.5733333333333334,1.5,,2.28
default,fakeddit@r0.1,0,10,0.29348531844103126,0.2118160900309961,0.18229511084428018,0.1392002693045342,0.0,0.5791666666666667,1.5,,2.47
default,fakeddit@r0.1,1,10,0.29407726888932467,0.21630253048218828,0.1815667511771441,0.13304536958258661,0.0,0.575,1.5,,2.44
fcm+rawpca+m1.2,fakeddit@r0.1,0,10,0.23082658606357723,0.6488050633332636,0.6777609779879004,0.6264284903181541,0.49583333333333335,0.22166666666666668,1.2,,2.59
fcm+rawpca+m1.2,fakeddit@r0.1,1,10,0.24589126822851215,0.6086967767407693,0.6615986103341196,0.5942158880054943,0.43333333333333335,0.19083333333333333,1.2,,2.52
kmsoft|cca,fakeddit@r0.1,0,10,0.21599963999025004,0.43476824941405656,0.5610988004027666,0.43730538751140213,0.3825,0.185,,,2.41
fcm+rawpca+m1.2,fakeddit@r0.1,2,10,0.2115869571256877,0.5957799543634659,0.5952699943870701,0.5944399445270306,0.4375,0.18333333333333332,1.2,,2.47
kmsoft|cca,fakeddit@r0.1,1,10,0.2065581533486572,0.5171840135135228,0.5621986779942703,0.43417782675109984,0.4191666666666667,0.17083333333333334,,,2.27
kmsoft|cca,fakeddit@r0.1,2,10,0.23159623499115126,0.4572701549034497,0.5695686004861542,0.43221066705235966,0.37583333333333335,0.18666666666666668,,,2.28
kmsoft|raw,fakeddit@r0.1,1,10,0.2450175178363695,0.5497415705958237,0.590458053930068,0.4892674494461149,0.36916666666666664,0.18083333333333335,,,2.31
kmsoft|raw,fakeddit@r0.1,2,10,0.25718805400483996,0.6199554344140052,0.6747610578686786,0.4959236388041622,0.3541666666666667,0.1775,,,2.28
kmsoft|raw,fakeddit@r0.1,0,10,0.259392952418157,0.6232839780526869,0.6741252539617562,0.5029559623570435,0.3383333333333333,0.1825,,,2.42
gmm|cca,fakeddit@r0.1,0,10,0.18960917873990174,0.4054237189076164,0.5294797163952712,0.8555907522882453,0.22583333333333333,0.17666666666666667,,,2.23
gmm|cca,fakeddit@r0.1,2,10,0.1813847370922905,0.3133819049427673,0.41520070783764645,0.859735065386482,0.22,0.24333333333333335,,,2.24
gmm|cca,fakeddit@r0.1,1,10,0.2118908184708441,0.4628803123530827,0.5071813813147147,0.8817768075095432,0.20333333333333334,0.23916666666666667,,,2.44
gmm|raw,fakeddit@r0.1,0,10,0.24016323910469536,0.5222464150507433,0.5866285017508968,0.9421013132322376,0.10666666666666667,0.23833333333333334,,,2.39
gmm|raw,fakeddit@r0.1,1,10,0.24280962331025316,0.60585631630134,0.6676668206560266,0.9345302224341129,0.11333333333333333,0.22666666666666666,,,2.33
gmm|raw,fakeddit@r0.1,2,10,0.2694895947058012,0.5579177591205429,0.595078253446175,0.9545953575661618,0.08416666666666667,0.24583333333333332,,,2.25
fcmad|cca,fakeddit@r0.1,1,10,0.19403465612026366,0.45310511905360995,0.5246554166565296,0.5973688320999401,0.3466666666666667,0.165,1.2,,2.34
fcmad|cca,fakeddit@r0.1,0,10,0.2157407064732576,0.4074453742414086,0.5450331372516664,0.5963218702157432,0.3491666666666667,0.1725,1.2,,2.41
