method,dataset,seed,k_used,modularity,onmi,onmi_hard,ari,f1,extra,error,secs
diag,crisismmd@r0.1,0,7,nan,nan,nan,nan,nan,"{""n_nodes"": 800, ""k"": 7, ""max_cluster_frac"": 0.54375, ""min_cluster_frac"": 0.0, ""n_empty"": 3, ""sizes_top3"": [435, 315, 49], ""umax_mean"": 0.14294390046813246, ""umax_q10"": 0.1428632461949226, ""umax_q90"": 0.14314531612955791, ""frac_umax_lt_0p3"": 1.0, ""one_over_k"": 0.14285714285714285, ""comms_per_node"": 1.0, ""frac_in_half_or_more"": 0.0, ""pred_comm_frac_top"": 0.54375, ""pred_comm_frac_med"": 0.00125, ""fcm_obj"": 289.1496048981527, ""fcm_iters"": 38, ""center_min_dist"": 2.9612217397355222e-06, ""center_mean_dist"": 0.0002855099460660063, ""within_rms"": 0.9777472632424165, ""center_sep_ratio"": 3.0286167510328352e-06, ""alpha_mean"": 0.6001689669803463, ""conf_mean"": 0.6430985242576375, ""frac_both"": 1.0, ""var_content_w"": 0.558229520192572, ""var_struct_w"": 0.3980428737970266, ""var_share_content"": 0.5837557621662978, ""pdist_content_w"": 1.0253574369097744, ""pdist_struct_w"": 0.8674468138602094, ""cca_dim"": 8, ""eta2_content_w"": 0.17076672143850274, ""eta2_struct_w"": 0.6042207707179731, ""eta2_fused"": 0.3511894718165033, ""eta2_content_raw"": 0.16520757538268685, ""eta2_struct_raw"": 0.6046648921861846}",,0.92
var:default,crisismmd@r0.25,0,7,0.05728194396087069,0.057915009241260695,0.057915009241260695,0.14452972202550318,0.34620217927918995,,,0.88
var:default,crisismmd@r0.25,1,7,0.07837153844903365,0.08554032161618008,0.08554032161618008,0.1141597457927767,0.3213738325174664,,,0.92
rem:raw_pca,crisismmd@r0.25,0,7,0.20056299102915048,0.2046375585043151,0.2046375585043151,0.4262989449320483,0.3485262305243766,,,0.91
rem:raw_pca,crisismmd@r0.25,1,7,0.1888886123486065,0.2321373060969698,0.2321373060969698,0.4622999018704751,0.3591980473600091,,,0.95
var:default,crisismmd@r0.25,2,7,0.08687040825386476,0.09467060406443739,0.09467060406443739,0.2216313436106037,0.34528397481455547,,,1.06
rem:raw_pca,crisismmd@r0.25,2,7,0.22309766750619592,0.21046840579209136,0.21046840579209136,0.4557630738095551,0.374308353839814,,,0.97
rem:std_blocks,crisismmd@r0.25,0,7,0.049460695955744566,0.04852368639103344,0.04852368639103344,0.10945739589768425,0.26319413738771213,,,1.0
rem:std_blocks,crisismmd@r0.25,2,7,0.06275335287093331,0.07667264635382476,0.07667264635382476,0.17304878841840798,0.2983822871005481,,,0.92
rem:std_blocks,crisismmd@r0.25,1,7,0.06159438632011428,0.0766798546207692,0.0766798546207692,0.08311611249327279,0.2888201669576394,,,1.03
