group,dataset,seed,method,x,k_used,onmi,modularity,f1,auroc_agree,auroc_conf,error,secs
miss,crisismmd,2,nfmcd_robust,0.8,7,0.5426155314922513,0.5151495538864197,0.7510289697554818,nan,nan,,0.08
miss,fakeddit_real_lcc,0,nfmcd_robust,0.0,6,0.1954455469796429,0.7288552201165773,0.35139405265614915,nan,nan,,0.25
miss,fakeddit_real_lcc,0,nfmcd_default,0.0,6,0.13624927109591334,0.5471847152793584,0.29870584349690205,nan,nan,,0.5
miss,fakeddit_real_lcc,2,nfmcd_default,0.0,6,0.09889430041556457,0.539708464837765,0.22137966064493023,nan,nan,,0.45
miss,fakeddit_real_lcc,1,nfmcd_default,0.0,6,0.1421476531269955,0.5522990132665555,0.27249832332118,nan,nan,,0.48
miss,fakeddit_real_lcc,1,nfmcd_robust,0.0,6,0.19559573397441066,0.7245019977060639,0.35082438192583126,nan,nan,,0.25
miss,fakeddit_real_lcc,0,nfmcd_default,0.4,6,0.19267484139348778,0.7405539595290779,0.3332099705812434,nan,nan,,0.16
miss,fakeddit_real_lcc,1,nfmcd_default,0.4,6,0.2206167714627838,0.7860432151292001,0.3565018268488667,nan,nan,,0.14
miss,fakeddit_real_lcc,2,nfmcd_default,0.4,6,0.1960507504384108,0.7411986021846552,0.3364966982589042,nan,nan,,0.14
miss,fakeddit_real_lcc,2,nfmcd_robust,0.0,6,0.19480874474971133,0.7264733821878222,0.3509094249353258,nan,nan,,0.24
miss,fakeddit_real_lcc,0,nfmcd_default,0.8,6,0.21087541051393544,0.7644320127291288,0.3724889300178114,nan,nan,,0.06
miss,fakeddit_real_lcc,0,nfmcd_robust,0.4,6,0.20399562578830066,0.7606224781927586,0.34240959147661637,nan,nan,,0.16
miss,fakeddit_real_lcc,1,nfmcd_robust,0.4,6,0.19552256628090126,0.7539841343646636,0.33559008152309433,nan,nan,,0.19
miss,fakeddit_real_lcc,2,nfmcd_robust,0.4,6,0.17713824896971353,0.7283214137666317,0.32244578670131957,nan,nan,,0.14
miss,fakeddit_real_lcc,1,nfmcd_default,0.8,6,0.16685184125456687,0.7699606351556928,0.31510937663059874,nan,nan,,0.06
miss,fakeddit_real_lcc,2,nfmcd_default,0.8,6,0.21121958670315366,0.7683001310039427,0.3735586469402355,nan,nan,,0.05
miss,fakeddit_real_lcc,1,nfmcd_robust,0.8,6,0.17166684628651185,0.7455797610340801,0.3190501039297446,nan,nan,,0.09
miss,fakeddit_real_lcc,0,nfmcd_robust,0.8,6,0.20857075832696215,0.7643780695176828,0.3699746581184005,nan,nan,,0.09
miss,fakeddit_real_lcc,2,nfmcd_robust,0.8,6,0.21021573986943964,0.7509417908733449,0.3691389447308298,nan,nan,,0.17
mis,crisismmd,0,nfmcd_default,0.0,7,0.590905302529789,0.5197824512523282,0.7572625076058666,nan,nan,,0.84
mis,crisismmd,2,nfmcd_default,0.0,7,0.6076187149920035,0.5122659845460196,0.7379396383562477,nan,nan,,0.84
mis,crisismmd,1,nfmcd_default,0.0,7,0.6290563695197424,0.5267513351527662,0.506950028298826,nan,nan,,0.91
mis,crisismmd,3,nfmcd_default,0.0,7,0.5855930682968469,0.5095026545748423,0.7494472460750561,nan,nan,,0.86
mis,crisismmd,0,nfmcd_robust,0.0,7,0.7067088036285051,0.45831892225027016,0.7003090224252355,nan,nan,,0.38
mis,crisismmd,1,nfmcd_robust,0.0,7,0.7097932583825237,0.4577152988615624,0.7067227870812722,nan,nan,,0.34
mis,crisismmd,2,nfmcd_robust,0.0,7,0.7058647764506246,0.45700605811460737,0.6988240049654377,nan,nan,,0.36
mis,crisismmd,3,nfmcd_robust,0.0,7,0.7069023255925849,0.45811609675897164,0.7000378120628454,nan,nan,,0.36
mis,crisismmd,4,nfmcd_default,0.0,7,0.5493116525858651,0.5220553476794157,0.5155024205275461,nan,nan,,0.81
mis,crisismmd,4,nfmcd_robust,0.0,7,0.7082047107159026,0.45877120050391756,0.701469776328792,nan,nan,,0.36
mis,crisismmd,0,nfmcd_default,0.1,7,0.305255840778474,0.47401072473254796,0.40082396185800656,0.5690544605199039,0.5690544605199039,,0.89
mis,crisismmd,1,nfmcd_default,0.1,7,0.5521408303004756,0.5277611324858368,0.5159110078804096,0.6872643678160919,0.6872643678160919,,0.86
mis,crisismmd,3,nfmcd_default,0.1,7,0.5548106345238536,0.5241540560015071,0.5149015813992708,0.6484563055991628,0.6484563055991628,,0.89
mis,crisismmd,2,nfmcd_default,0.1,7,0.6345340977131617,0.5279187949990296,0.5100787504140395,0.6258206896551725,0.6258206896551725,,0.92
mis,crisismmd,0,nfmcd_robust,0.1,7,0.7053540031813637,0.45765049343952835,0.7056591872917429,0.8000369679555039,0.8000369679555039,,0.39
mis,crisismmd,1,nfmcd_robust,0.1,7,0.7000950730938433,0.46011084028199606,0.6984083001328638,0.8240551724137931,0.8240551724137931,,0.38
mis,crisismmd,2,nfmcd_robust,0.1,7,0.7067251890128983,0.45142756220201374,0.6980590905675665,0.7556597701149426,0.7556597701149426,,0.36
mis,crisismmd,4,nfmcd_default,0.1,7,0.2178035603042059,0.3402371886813837,0.23220049936493842,0.6877693641717749,0.6877693641717749,,0.81
mis,crisismmd,3,nfmcd_robust,0.1,7,0.707797030159903,0.45788821093984977,0.701349474246386,0.8534589220303506,0.8534589220303506,,0.36
mis,crisismmd,4,nfmcd_robust,0.1,7,0.7025545325687853,0.45770040491046876,0.6979672069185254,0.7928879273339171,0.7928879273339171,,0.36
mis,crisismmd,0,nfmcd_default,0.2,7,0.6073961950595276,0.5262541658611313,0.5073512353626951,0.6123882691156702,0.6123882691156702,,0.89
mis,crisismmd,1,nfmcd_default,0.2,7,0.5818245707173051,0.5219546461617681,0.5050300261237827,0.6374871794871795,0.6374871794871795,,0.83
mis,crisismmd,2,nfmcd_default,0.2,7,0.5992240649117093,0.52479428671383,0.5054328807500649,0.5842205922946488,0.5842205922946488,,0.92
mis,crisismmd,3,nfmcd_default,0.2,7,0.6087464795452495,0.5255792732429624,0.5059495917095325,0.5959170205745549,0.5959170205745549,,0.92
mis,crisismmd,0,nfmcd_robust,0.2,7,0.6932133084388996,0.4576240106557016,0.6962351907670739,0.7937283529077013,0.7937283529077013,,0.39
mis,crisismmd,1,nfmcd_robust,0.2,7,0.6884920052474672,0.45873312888735784,0.6933164244979111,0.8089641025641026,0.8089641025641026,,0.33
mis,crisismmd,2,nfmcd_robust,0.2,7,0.6672835118677243,0.5239732994967309,0.7539814576408325,0.7390768563429158,0.7390768563429158,,0.33
mis,crisismmd,3,nfmcd_robust,0.2,7,0.6985146782209996,0.4564619268563919,0.6962217060543764,0.7996402379964024,0.7996402379964024,,0.36
mis,crisismmd,4,nfmcd_default,0.2,7,0.5806655302506534,0.5229398224548988,0.5065980063998571,0.6211738351254481,0.6211738351254481,,0.83
