dataset,variant,threshold,seed,onmi,f1,mean_max_membership
amazon,robust,0.1,2,0.40785789140422535,0.7538909356671684,0.9384540558603636
amazon,robust,0.15,0,0.4410301271348962,0.7710071474983755,0.9384540558603633
amazon,robust,0.15,1,0.4410301271348962,0.7710071474983755,0.9384540558603631
amazon,robust,0.15,2,0.4410301271348962,0.7710071474983755,0.9384540558603636
amazon,robust,0.2,0,0.5535487568737809,0.7972215846095806,0.9384540558603633
amazon,robust,0.2,1,0.5535487568737809,0.7972215846095807,0.9384540558603631
amazon,robust,0.2,2,0.5535487568737809,0.7972215846095807,0.9384540558603636
amazon,robust,0.25,0,0.540140219879248,0.76645505858989,0.9384540558603633
amazon,robust,0.25,1,0.540140219879248,0.7664550585898902,0.9384540558603631
amazon,robust,0.25,2,0.540140219879248,0.7664550585898902,0.9384540558603636
amazon,robust,0.3,0,0.535887821000959,0.7513584402324021,0.9384540558603633
amazon,robust,0.3,1,0.535887821000959,0.7513584402324021,0.9384540558603631
amazon,robust,0.3,2,0.535887821000959,0.7513584402324021,0.9384540558603636
amazon,robust,0.35,0,0.5275031018686339,0.7484217701609006,0.9384540558603633
amazon,robust,0.35,1,0.5275031018686339,0.7484217701609006,0.9384540558603631
amazon,robust,0.35,2,0.5275031018686339,0.7484217701609006,0.9384540558603636
amazon,robust,0.4,0,0.526120191794379,0.7430935519170814,0.9384540558603633
amazon,robust,0.4,1,0.526120191794379,0.7430935519170814,0.9384540558603631
amazon,robust,0.4,2,0.526120191794379,0.7430935519170814,0.9384540558603636
fakeddit_real_lcc,default,0.1,0,0.049886217445718195,0.2595473064230006,0.27163526989462133
fakeddit_real_lcc,default,0.1,1,0.04151425574243084,0.2566603060987624,0.26346838857857674
fakeddit_real_lcc,default,0.1,2,0.0367069894005434,0.22698751258658945,0.24031363147301582
fakeddit_real_lcc,default,0.15,0,0.11917414294764284,0.3170363196299207,0.27163526989462133
fakeddit_real_lcc,default,0.15,1,0.10280446268655319,0.3208199072718356,0.26346838857857674
fakeddit_real_lcc,default,0.15,2,0.03714718155993424,0.21711626103574877,0.24031363147301582
fakeddit_real_lcc,default,0.2,0,0.13624927109591334,0.29870584349690205,0.27163526989462133
fakeddit_real_lcc,default,0.2,1,0.1421476531269955,0.27249832332118,0.26346838857857674
fakeddit_real_lcc,default,0.2,2,0.09889430041556457,0.22137966064493023,0.24031363147301582
fakeddit_real_lcc,default,0.25,0,0.12784230257056894,0.2951687245249192,0.27163526989462133
fakeddit_real_lcc,default,0.25,1,0.14040523805103078,0.2747705178766578,0.26346838857857674
fakeddit_real_lcc,default,0.25,2,0.09889430041556457,0.22137966064493023,0.24031363147301582
fakeddit_real_lcc,default,0.3,0,0.12784230257056894,0.2951687245249192,0.27163526989462133
fakeddit_real_lcc,default,0.3,1,0.14040523805103078,0.2747705178766578,0.26346838857857674
fakeddit_real_lcc,default,0.3,2,0.09889430041556457,0.22137966064493023,0.24031363147301582
fakeddit_real_lcc,default,0.35,0,0.12784230257056894,0.2951687245249192,0.27163526989462133
fakeddit_real_lcc,default,0.35,1,0.14040523805103078,0.2747705178766578,0.26346838857857674
fakeddit_real_lcc,default,0.35,2,0.09889430041556457,0.22137966064493023,0.24031363147301582
fakeddit_real_lcc,default,0.4,0,0.12784230257056894,0.2951687245249192,0.27163526989462133
fakeddit_real_lcc,default,0.4,1,0.14040523805103078,0.2747705178766578,0.26346838857857674
fakeddit_real_lcc,default,0.4,2,0.09889430041556457,0.22137966064493023,0.24031363147301582
fakeddit_real_lcc,robust,0.1,0,0.1200719370341603,0.29215633316086287,0.6359015770982357
fakeddit_real_lcc,robust,0.1,1,0.12273218843553324,0.2919685844576619,0.6370624982614372
fakeddit_real_lcc,robust,0.1,2,0.12123830555421766,0.2923450417353181,0.6357969446278103
fakeddit_real_lcc,robust,0.15,0,0.15525342287506572,0.30207476164528774,0.6359015770982357
fakeddit_real_lcc,robust,0.15,1,0.15667626189421902,0.29791662531538193,0.6370624982614372
fakeddit_real_lcc,robust,0.15,2,0.15501808534307837,0.3012277135234651,0.6357969446278103
fakeddit_real_lcc,robust,0.2,0,0.1954455469796429,0.35139405265614915,0.6359015770982357
fakeddit_real_lcc,robust,0.2,1,0.19559573397441066,0.35082438192583126,0.6370624982614372
fakeddit_real_lcc,robust,0.2,2,0.19480874474971133,0.3509094249353258,0.6357969446278103
fakeddit_real_lcc,robust,0.25,0,0.19838265013976608,0.35821551756304487,0.6359015770982357
fakeddit_real_lcc,robust,0.25,1,0.19743521458957314,0.35582465664201207,0.6370624982614372
fakeddit_real_lcc,robust,0.25,2,0.1964051812914529,0.3558532713917873,0.6357969446278103
fakeddit_real_lcc,robust,0.3,0,0.20081547769972463,0.36096576491760884,0.6359015770982357
fakeddit_real_lcc,robust,0.3,1,0.20044986362866335,0.35923859216026416,0.6370624982614372
fakeddit_real_lcc,robust,0.3,2,0.1994198303305429,0.3592672069100394,0.6357969446278103
fakeddit_real_lcc,robust,0.35,0,0.20356971615028363,0.36405775129467327,0.6359015770982357
fakeddit_real_lcc,robust,0.35,1,0.20306838171187425,0.36215181713583927,0.6370624982614372
fakeddit_real_lcc,robust,0.35,2,0.2020383484137539,0.3621804318856145,0.6357969446278103
fakeddit_real_lcc,robust,0.4,0,0.20567093075487985,0.3663585369287923,0.6359015770982357
fakeddit_real_lcc,robust,0.4,1,0.20544195721370628,0.36481142565585695,0.6370624982614372
fakeddit_real_lcc,robust,0.4,2,0.20383511100132923,0.36424295490266884,0.6357969446278103
