exp,dataset,variant,seed,cond,metric,value
E1,crisismmd,default,3,tree_B_L32,cv_acc,0.9
E1,crisismmd,default,3,tree_C_L2,fit_acc,0.50125
E1,crisismmd,default,3,tree_C_L2,cv_acc,0.48125
E1,crisismmd,default,3,tree_C_L3,fit_acc,0.73875
E1,crisismmd,default,3,tree_C_L3,cv_acc,0.7375
E1,crisismmd,default,3,tree_C_L4,fit_acc,0.84625
E1,crisismmd,default,3,tree_C_L4,cv_acc,0.845
E1,crisismmd,default,3,tree_C_L6,fit_acc,0.905
E1,crisismmd,default,3,tree_C_L6,cv_acc,0.89375
E1,crisismmd,default,3,tree_C_L8,fit_acc,0.925
E1,crisismmd,default,3,tree_C_L8,cv_acc,0.89625
E1,crisismmd,default,3,tree_C_L12,fit_acc,0.93625
E1,crisismmd,default,3,tree_C_L12,cv_acc,0.9037499999999999
E1,crisismmd,default,3,tree_C_L16,fit_acc,0.945
E1,crisismmd,default,3,tree_C_L16,cv_acc,0.905
E1,crisismmd,default,3,tree_C_L24,fit_acc,0.955
E1,crisismmd,default,3,tree_C_L24,cv_acc,0.90625
E1,crisismmd,default,3,tree_C_L32,fit_acc,0.965
E1,crisismmd,default,3,tree_C_L32,cv_acc,0.9037499999999999
E1,crisismmd,default,3,tree,majority_all,0.26
_,crisismmd,default,3,core|crisismmd|default|3,_done,2.78
E2,crisismmd,default,1,all,recon_maxabs,4.440892098500626e-16
E2,crisismmd,default,1,all,n_with_content,800
E2,crisismmd,default,1,all,n_nodes,800
E2,crisismmd,default,1,all,flip_content_mean,0.035
E2,crisismmd,default,1,all,flip_structure_mean,0.5375
E2,crisismmd,default,1,all,spearman_alpha_delta_mean,0.48064544632100986
E2,crisismmd,default,1,all,spearman_alpha_delta,0.48557642277566065
E2,crisismmd,default,1,all,spearman_posthoc_delta,-0.28425051445392885
E2,crisismmd,default,1,all,spearman_normshare_delta,0.48972641363502134
E2,crisismmd,default,1,all,spearman_alpha_tvc,0.145536555525868
E2,crisismmd,default,1,all,spearman_alpha_tvs,-0.31641262720723007
E2,crisismmd,default,1,all,mean_tv_content,0.1881420861597265
E2,crisismmd,default,1,all,mean_tv_structure,0.12403069737288376
