method,dataset,seed,k_used,modularity,onmi,f1,error,secs
nfmcd_default,dblp,16,8,0.8427960583241708,0.4831783861518911,0.571950789179827,,0.12
nfmcd_default,dblp,17,8,0.8455884621075356,0.5555807713757182,0.6704046363687863,,0.17
nfmcd_robust,dblp,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.12
nfmcd_default,dblp,19,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_default,dblp,18,8,0.8391351129221739,0.6315084520765316,0.7279257864285953,,0.16
nfmcd_robust,dblp,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599036,,0.14
nfmcd_robust,dblp,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.11
nfmcd_robust,dblp,3,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_robust,dblp,4,8,0.8475776772909762,0.6702689982017619,0.7331002190599036,,0.17
nfmcd_robust,dblp,5,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.14
nfmcd_robust,dblp,6,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_robust,dblp,7,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_robust,dblp,9,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.12
nfmcd_robust,dblp,10,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.11
nfmcd_robust,dblp,11,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.17
nfmcd_robust,dblp,12,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.16
nfmcd_robust,dblp,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.31
nfmcd_robust,dblp,13,8,0.8475776772909762,0.6702689982017619,0.7331002190599036,,0.14
nfmcd_robust,dblp,14,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_robust,dblp,15,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_robust,dblp,16,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.17
nfmcd_robust,dblp,17,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.17
nfmcd_robust,dblp,19,8,0.8475776772909762,0.6702689982017619,0.7331002190599036,,0.12
nfmcd_robust,dblp,18,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.16
spectral_graph+content,dblp,0,8,0.825141855262408,0.6362767682313523,0.7375557084638132,,0.22
spectral_graph+content,dblp,1,8,0.8291110055006329,0.6042176080907018,0.7235304577428769,,0.25
spectral_graph+content,dblp,2,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,,0.22
spectral_graph+content,dblp,3,8,0.8222346915781917,0.7164501481834105,0.7906806892905553,,0.23
spectral_graph+content,dblp,4,8,0.825507832167174,0.6561268490368206,0.751177816372304,,0.23
spectral_graph+content,dblp,5,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,,0.24
spectral_graph+content,dblp,6,8,0.825507832167174,0.6561268490368206,0.751177816372304,,0.22
spectral_graph+content,dblp,7,8,0.825507832167174,0.6561268490368206,0.751177816372304,,0.25
spectral_graph+content,dblp,8,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,,0.25
spectral_graph+content,dblp,9,8,0.8288492013076878,0.6812958346159972,0.7597246747734402,,0.23
spectral_graph+content,dblp,10,8,0.8291110055006329,0.6042176080907018,0.7235304577428769,,0.2
spectral_graph+content,dblp,11,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,,0.22
spectral_graph+content,dblp,14,8,0.8401746180377468,0.6487654572820645,0.7378769699698178,,0.22
spectral_graph+content,dblp,13,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,,0.25
spectral_graph+content,dblp,12,8,0.8242490023208164,0.626527301570833,0.7331469674997533,,0.28
spectral_graph+content,dblp,15,8,0.8292615788557366,0.6584339142176436,0.7477412997605883,,0.25
spectral_graph+content,dblp,17,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,,0.27
spectral_graph+content,dblp,18,8,0.8287912985331123,0.679578940935504,0.7588651219922649,,0.26
spectral_graph+content,dblp,16,8,0.8222346915781917,0.7164501481834105,0.7906806892905553,,0.33
spectral_graph+content,dblp,19,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,,0.22
