dataset,seed,phase,param,cfg,m,alpha_min,alpha_max,sd_mult,common_dim,anfis,modularity,onmi,f1,error,secs
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8726653234122518,0.0,0.2385064995353861,,4.41
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.276771210290888,0.6391272108684639,0.6634634710801572,,4.03
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3394724930687693,0.31186010625729166,0.30628412640460834,,1.27
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.3026153782479178,0.44418489484320123,0.5127976612599093,,3.61
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.4626640860525637,0.4365178426603573,0.36607155380561657,,1.12
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.2919382002227973,0.45343811362877284,0.5240041846868368,,3.81
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.6570760878192159,0.01627048446390511,0.12080735882766695,,4.03
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.8503679897777422,0.619203604477846,0.7251706399225106,,0.11
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.8503679897777422,0.619203604477846,0.7251706399225106,,0.12
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.8503679897777422,0.619203604477846,0.7251706399225106,,0.09
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7172353714661406,0.4410301271348962,0.7710071474983755,,0.0
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7172353714661406,0.4410301271348962,0.7710071474983757,,0.02
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7172353714661406,0.4410301271348962,0.7710071474983757,,0.02
