rate,blend,method,seed,threshold,precision,recall,f1
0.1,0.5,nfmcd_default,1,0.25,0.6666666666666666,0.10526315789473684,0.18181818181818182
0.1,0.5,nfmcd_default,1,0.3,1.0,0.05263157894736842,0.1
0.1,0.5,nfmcd_default,1,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_default,1,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,1,0.05,0.16901408450704225,0.631578947368421,0.26666666666666666
0.1,0.5,nfmcd_robust,1,0.1,0.2777777777777778,0.2631578947368421,0.27027027027027023
0.1,0.5,nfmcd_robust,1,0.15,0.5,0.15789473684210525,0.23999999999999996
0.1,0.5,nfmcd_robust,1,0.2,1.0,0.15789473684210525,0.2727272727272727
0.1,0.5,nfmcd_robust,1,0.25,1.0,0.10526315789473684,0.1904761904761905
0.1,0.5,nfmcd_robust,1,0.3,1.0,0.05263157894736842,0.1
0.1,0.5,nfmcd_robust,1,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,1,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_default,2,0.05,0.0945273631840796,0.7916666666666666,0.16888888888888887
0.1,0.5,nfmcd_default,2,0.1,0.1935483870967742,0.5,0.27906976744186046
0.1,0.5,nfmcd_default,2,0.15,0.2777777777777778,0.20833333333333334,0.2380952380952381
0.1,0.5,nfmcd_default,2,0.2,0.3333333333333333,0.08333333333333333,0.13333333333333333
0.1,0.5,nfmcd_default,2,0.25,0.5,0.08333333333333333,0.14285714285714285
0.1,0.5,nfmcd_default,2,0.3,0.0,0.0,0.0
0.1,0.5,nfmcd_default,2,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_default,2,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,2,0.05,0.10144927536231885,0.2916666666666667,0.15053763440860216
0.1,0.5,nfmcd_robust,2,0.1,0.21428571428571427,0.125,0.15789473684210525
0.1,0.5,nfmcd_robust,2,0.15,0.2857142857142857,0.08333333333333333,0.12903225806451613
0.1,0.5,nfmcd_robust,2,0.2,0.5,0.041666666666666664,0.07692307692307693
0.1,0.5,nfmcd_robust,2,0.25,0.5,0.041666666666666664,0.07692307692307693
0.1,0.5,nfmcd_robust,2,0.3,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,2,0.4,0.0,0.0,0.0
