diagnostic,dataset,seed,variant,metric,value
d2_alpha_sweep,fakeddit,1,a=0.02,onmi,0.822307
d2_alpha_sweep,fakeddit,1,a=0.15,onmi,0.791495
d2_alpha_sweep,fakeddit,1,a=0.3,onmi,0.751948
d2_alpha_sweep,fakeddit,1,a=0.5,onmi,0.411110
d2_alpha_sweep,fakeddit,1,a=0.7,onmi,0.182223
d2_alpha_sweep,fakeddit,1,a=0.85,onmi,0.115545
d2_alpha_sweep,fakeddit,1,a=0.98,onmi,0.034428
d2_alpha_sweep,fakeddit,2,a=0.02,onmi,0.781092
d2_alpha_sweep,fakeddit,2,a=0.15,onmi,0.790749
d2_alpha_sweep,fakeddit,2,a=0.3,onmi,0.751259
d2_alpha_sweep,fakeddit,2,a=0.5,onmi,0.377101
d2_alpha_sweep,fakeddit,2,a=0.7,onmi,0.190241
d2_alpha_sweep,fakeddit,2,a=0.85,onmi,0.140047
d2_alpha_sweep,fakeddit,2,a=0.98,onmi,0.064865
d3_content_only,fakeddit,0,all,cca_fused_kmeans,0.037930
d3_content_only,fakeddit,0,all,cca_fused_fcm,0.058255
d3_content_only,fakeddit,0,all,raw_text_kmeans,0.037449
d3_content_only,fakeddit,0,all,raw_text_fcm,0.039090
d3_content_only,fakeddit,0,all,raw_image_kmeans,0.066453
d3_content_only,fakeddit,0,all,raw_image_fcm,0.065410
d3_content_only,fakeddit,0,all,raw_text+image_kmeans,0.151855
d3_content_only,fakeddit,0,all,raw_text+image_fcm,0.063200
d3_content_only,fakeddit,1,all,cca_fused_kmeans,0.031274
d3_content_only,fakeddit,1,all,cca_fused_fcm,0.032970
d3_content_only,fakeddit,1,all,raw_text_kmeans,0.034714
d3_content_only,fakeddit,1,all,raw_text_fcm,0.032281
d3_content_only,fakeddit,1,all,raw_image_kmeans,0.113386
d3_content_only,fakeddit,1,all,raw_image_fcm,0.062020
d3_content_only,fakeddit,1,all,raw_text+image_kmeans,0.081618
d3_content_only,fakeddit,1,all,raw_text+image_fcm,0.066639
d3_content_only,fakeddit,2,all,cca_fused_kmeans,0.038490
d3_content_only,fakeddit,2,all,cca_fused_fcm,0.069058
d3_content_only,fakeddit,2,all,raw_text_kmeans,0.034628
d3_content_only,fakeddit,2,all,raw_text_fcm,0.052323
d3_content_only,fakeddit,2,all,raw_image_kmeans,0.092260
d3_content_only,fakeddit,2,all,raw_image_fcm,0.026595
d3_content_only,fakeddit,2,all,raw_text+image_kmeans,0.080281
d3_content_only,fakeddit,2,all,raw_text+image_fcm,0.053115
d4_confidence,fakeddit,0,all,cca_fused_acc_overall,0.293963
d4_confidence,fakeddit,0,all,cca_fused_spearman_agreement,0.064476
d4_confidence,fakeddit,0,all,cca_fused_spearman_conf,0.064476
d4_confidence,fakeddit,0,all,cca_fused_acc_agq1,0.244755
d4_confidence,fakeddit,0,all,agq1_mean_agreement,0.655310
