rate,blend,condition,seed,n_nodes,n_overlap,onmi_standard,strict_acc_all,lenient_acc_all,strict_acc_overlap,lenient_acc_overlap,strict_acc_nonoverlap,frac_hard_c1,frac_hard_c2,frac_hard_neither,mean_degree_overlap,mean_degree_nonoverlap,spearman_degree_vs_strict_correct,note,error,secs
0.4,0.5,content_only,1,300,92,0.6619,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.478,15.163,,,,0.17
0.4,0.5,combined,3,300,97,0.662,0.99,1.0,0.9691,1.0,1.0,0.9691,0.0309,0.0,20.67,17.374,-0.0498,,,0.11
0.4,0.5,edge_only,3,300,97,0.6556,0.9967,1.0,0.9897,1.0,1.0,0.9897,0.0103,0.0,20.67,17.374,-0.0358,,,0.11
0.4,0.5,content_only,3,300,97,0.6362,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.278,15.369,,,,0.12
0.4,0.5,combined,4,300,95,0.6374,0.99,1.0,0.9684,1.0,1.0,0.9684,0.0316,0.0,19.853,17.337,-0.1208,,,0.19
0.4,0.5,edge_only,4,300,95,0.6157,0.9967,1.0,0.9895,1.0,1.0,0.9895,0.0105,0.0,19.853,17.337,-0.073,,,0.12
0.4,0.5,content_only,4,300,95,0.6418,0.9967,0.9967,1.0,1.0,0.9951,1.0,0.0,0.0,14.884,15.161,0.0892,,,0.12
0.4,0.7,combined,0,300,101,0.7339,0.9733,0.9967,0.9307,1.0,0.995,0.9307,0.0693,0.0,22.05,18.869,-0.1344,,,0.12
0.4,0.7,edge_only,0,300,101,0.6667,0.9867,0.9967,0.9703,1.0,0.995,0.9703,0.0297,0.0,22.05,18.869,-0.1049,,,0.16
0.4,0.7,content_only,0,300,101,0.6482,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.04,15.704,,,,0.12
0.4,0.7,combined,1,300,92,0.6613,0.9567,0.9867,0.8913,0.9891,0.9856,0.8913,0.0978,0.0109,21.837,18.053,-0.144,,,0.17
0.4,0.7,edge_only,1,300,92,0.635,0.98,0.9867,0.9674,0.9891,0.9856,0.9674,0.0217,0.0109,21.837,18.053,-0.0437,,,0.12
0.4,0.7,content_only,1,300,92,0.6619,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.478,15.163,,,,0.11
0.4,0.7,combined,2,300,91,0.6429,0.96,0.9867,0.9011,0.989,0.9856,0.9011,0.0879,0.011,22.033,18.062,-0.098,,,0.14
