dataset,mode,p,method,mask_seed,seed,k_used,onmi,modularity,f1,frac_nocontent,frac_no_text,frac_no_image,mean_conf,mean_alpha,fl_both,fl_text,fl_image,fl_none,fl_unaligned,error,secs
crisismmd,image,0.20,spectral_graph+content,1,0,7,0.8735429117138913,0.5163729915601083,0.9526909098128511,0.0,0.0,0.2025,nan,nan,nan,nan,nan,nan,nan,,0.12
crisismmd,image,0.20,nfmcd_rank16,1,0,7,0.7139487679456509,0.4063377778250071,0.6428369890165438,0.0,0.0,0.2025,0.34717624139848524,0.39302336897893964,0.7975,0.2025,0.0,0.0,0.0,,0.23
crisismmd,image,0.20,spectral_graph+content,1,1,7,0.8708167806277992,0.514936645692274,0.9519908784916683,0.0,0.0,0.2025,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.20,nfmcd_rank16,1,1,7,0.6847281950767374,0.4467967566831689,0.6906421862275867,0.0,0.0,0.2025,0.34860498700832,0.394023490905824,0.7975,0.2025,0.0,0.0,0.0,,0.25
crisismmd,image,0.20,kmeans_content,1,0,7,0.2677963513211299,0.11200073415464548,0.48741572450757287,0.0,0.0,0.2025,nan,nan,nan,nan,nan,nan,nan,,0.3
crisismmd,image,0.20,kmeans_content,1,1,7,0.2542053358503613,0.10166855762668403,0.47872963538005486,0.0,0.0,0.2025,nan,nan,nan,nan,nan,nan,nan,,0.28
crisismmd,image,0.20,nfmcd_all_changes,2,1,7,0.695416991126748,0.4501374782808749,0.7264746736247635,0.0,0.0,0.20375,0.398125,0.32915625,0.79625,0.20375,0.0,0.0,0.0,,0.25
crisismmd,image,0.20,nfmcd_all_changes,2,0,7,0.7153144334810444,0.3929172610475778,0.639289320561098,0.0,0.0,0.20375,0.398125,0.32915625,0.79625,0.20375,0.0,0.0,0.0,,0.28
crisismmd,image,0.20,nfmcd_full,2,0,7,0.5877430811171014,0.5236456953280814,0.6359145291110757,0.0,0.0,0.20375,0.5159440817499995,0.5111608572249996,0.79625,0.20375,0.0,0.0,0.0,,0.55
crisismmd,image,0.20,spectral_graph+content,2,0,7,0.9089714975634762,0.5228760629563965,0.968632078125945,0.0,0.0,0.20375,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.20,nfmcd_full,2,1,7,0.5772502178388648,0.5197154703093478,0.6305576071132668,0.0,0.0,0.20375,0.5158563857823272,0.511099470047629,0.79625,0.20375,0.0,0.0,0.0,,0.66
crisismmd,image,0.20,nfmcd_rank16,2,0,7,0.7025654421153822,0.40155054398273704,0.6441813081233081,0.0,0.0,0.20375,0.3555565231078877,0.3988895661755214,0.79625,0.20375,0.0,0.0,0.0,,0.22
crisismmd,image,0.20,spectral_graph+content,2,1,7,0.9089714975634762,0.5228760629563965,0.968632078125945,0.0,0.0,0.20375,nan,nan,nan,nan,nan,nan,nan,,0.11
crisismmd,image,0.20,nfmcd_rank16,2,1,7,0.6899124833943868,0.4507222122905972,0.6913352550581813,0.0,0.0,0.20375,0.3547332804862237,0.39831329634035656,0.79625,0.20375,0.0,0.0,0.0,,0.22
