dataset,seed,phase,param,cfg,m,alpha_min,alpha_max,sd_mult,common_dim,anfis,modularity,onmi,f1,error,secs
fakeddit,1,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.27314634995330267,0.3105638006311833,0.07755725190839695,,4.86
fakeddit,2,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.3272689744659498,0.23573648760301613,0.06124567474048444,,4.73
crisismmd,1,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.5121833147500613,0.6072792728495013,0.7436083970280178,,1.53
crisismmd,2,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.5119282767560522,0.623353382652619,0.733020162674988,,1.45
pheme,1,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.8719346374644061,0.0,0.22592482070912168,,7.39
fakeddit,1,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.3163528998070474,0.3927487276898317,0.17380689456500864,,5.06
fakeddit,0,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.2880412343196174,0.44827904940264574,0.18223216783216784,,5.27
fakeddit,2,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.31953888687877774,0.39203289545518105,0.1733467255926075,,4.8
crisismmd,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.5225218086561552,0.6460426540239833,0.7328461875448058,,1.55
crisismmd,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.520622369685354,0.6350401874723505,0.7340884824961208,,1.53
crisismmd,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.44861875547567115,0.652644746473948,0.6824427417115414,,1.61
pheme,0,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.823496192850342,0.0,0.16217403478098763,,9.36
pheme,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8810108987717453,0.0,0.23665819315315742,,1.97
pheme,1,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.7694183515618799,0.0,0.12021802793010197,,9.53
pheme,2,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.7744676525788213,0.0,0.09457700099966004,,12.2
dblp,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.7578620781934193,1.0,1.0,,0.05
dblp,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.7578620781934193,1.0,1.0,,0.05
dblp,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.7578620781934193,1.0,1.0,,0.03
amazon,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8583814702351529,1.0,1.0,,0.03
amazon,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8583814702351529,1.0,1.0,,0.03
amazon,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8583814702351529,1.0,1.0,,0.02
pheme,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8713663753462755,0.0,0.22349243113669603,,5.26
pheme,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.869023695586173,0.0,0.25646578111544555,,4.66
fakeddit,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.3111832221367108,0.49125570446050837,0.19129503439467793,,4.75
fakeddit,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.31926356744283985,0.48630196468351117,0.19098020248183062,,4.44
crisismmd,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.5}",1.5,0.15,0.85,1.5,8,default,0.3033359187168477,0.0,0.0,,1.45
crisismmd,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.5}",1.5,0.15,0.85,1.5,8,default,0.4524535295128871,0.0,0.0,,1.36
