method,dataset,seed,k_used,modularity,onmi,f1,note,error,secs
var:default_rank16,fakeddit@r0.25,0,10,0.20078789751736087,0.17548508794200623,0.13972771201169945,homophily=0.467 edges=12589,,0.66
var:default_rank16,fakeddit@r0.1,2,10,0.2998656861435324,0.36788297421667415,0.21738485446016567,homophily=0.679 edges=12516,,0.7
var:default_rank16,fakeddit@r0.25,2,10,0.19580575126080058,0.2930295103839763,0.1355164040043612,homophily=0.460 edges=12618,,0.56
var:default_rank16,fakeddit@r0.5,0,10,0.1129315308080831,0.04235406947607567,0.18176045825664236,homophily=0.306 edges=12621,,0.55
var:default_rank16,fakeddit@r0.5,1,10,0.11809107480341906,0.021210982475116325,0.20380509861223234,homophily=0.301 edges=12578,,0.59
var:default_rank16,fakeddit@r0.5,2,10,0.11646625831544734,0.016059240292978116,0.16044739448367534,homophily=0.291 edges=12618,,0.66
var:default_rank16,fakeddit@r1.0,0,10,0.12267614025929557,0.007196278364036468,0.16396995793088778,homophily=0.182 edges=12562,,0.73
var:default_rank16,fakeddit@r1.0,1,10,0.1354413034669768,0.0,0.1509419030125984,homophily=0.178 edges=12585,,0.66
var:default_rank16,fakeddit@r1.0,2,10,0.10397944904356662,0.008651534812324169,0.1648520853559302,homophily=0.173 edges=12631,,0.56
var:all_changes,fakeddit_real_lcc,0,6,0.7758136980451756,0.15611851006561595,0.30601883800111945,homophily=0.907 edges=9261,,0.31
var:all_changes,fakeddit_real_full,0,9,0.6115933156521596,0.04147837279484823,0.15692814376216624,homophily=0.887 edges=13108,,0.83
var:all_changes,fakeddit_real_lcc,2,6,0.731987797372811,0.1935744189082449,0.35484190070877714,homophily=0.907 edges=9261,,0.22
var:all_changes,fakeddit_real_lcc,1,6,0.7681100501210729,0.21027082813414255,0.3710889049015749,homophily=0.907 edges=9261,,0.36
var:all_changes,fakeddit_real_full,2,9,0.561981825898577,0.05868423690420199,0.11335061003458252,homophily=0.887 edges=13108,,0.72
var:all_changes,fakeddit_real_full,1,9,0.6605738269864152,0.029266054197311986,0.21301748639688559,homophily=0.887 edges=13108,,0.77
var:all_changes,crisismmd@r0.02,0,7,0.4655345120639961,0.7358006315780825,0.6520870537828775,homophily=0.927 edges=4884,,0.44
var:all_changes,crisismmd@r0.02,1,7,0.45369243941474713,0.6684558936351404,0.6597267136793346,homophily=0.922 edges=4926,,0.33
var:all_changes,crisismmd@r0.02,2,7,0.4674037900874636,0.6884020976936569,0.656760212730088,homophily=0.928 edges=4900,,0.36
var:all_changes,crisismmd@r0.1,0,7,0.36684709328083354,0.6970046037296485,0.6429265969215006,homophily=0.724 edges=4908,,0.41
var:all_changes,crisismmd@r0.1,2,7,0.36316627341130275,0.6759928693313643,0.6334820240613347,homophily=0.717 edges=4921,,0.36
var:all_changes,crisismmd@r0.25,0,7,0.268511158708365,0.2149338250493864,0.336146550265432,homophily=0.506 edges=4943,,0.36
var:all_changes,crisismmd@r0.1,1,7,0.3798902332513507,0.6625358390991929,0.6532115628273382,homophily=0.715 edges=4924,,0.45
var:all_changes,crisismmd@r0.25,1,7,0.24528656025118714,0.16717566626013347,0.34187988926153684,homophily=0.500 edges=4979,,0.45
var:all_changes,crisismmd@r0.5,1,7,0.19632326909677597,0.0,0.18196301609195653,homophily=0.330 edges=4908,,0.34
var:all_changes,crisismmd@r0.25,2,7,0.22945690530106877,0.1738261899090191,0.3415257954886256,homophily=0.503 edges=4946,,0.45
var:all_changes,crisismmd@r0.5,2,7,0.20241678476554734,0.0,0.2003899916544322,homophily=0.337 edges=4959,,0.3
var:all_changes,crisismmd@r0.5,0,7,0.21496536698589988,0.0,0.1780445813416439,homophily=0.334 edges=4898,,0.55
var:all_changes,crisismmd@r1.0,0,7,0.20902694117958653,0.0,0.16630371711098285,homophily=0.198 edges=4881,,0.38
var:all_changes,crisismmd@r1.0,1,7,0.19622363335912985,0.0,0.16139461447003248,homophily=0.201 edges=4973,,0.38
var:all_changes,crisismmd@r1.0,2,7,0.20166829812535889,0.0,0.16182266099631296,homophily=0.205 edges=4982,,0.31
var:all_changes,fakeddit@r0.02,0,10,0.3220340732542483,0.7164071580942644,0.646114145196577,homophily=0.916 edges=12551,,0.77
var:all_changes,fakeddit@r0.1,0,10,0.30234582338012295,0.40448194451620445,0.35366271499241164,homophily=0.684 edges=12623,,0.58
var:all_changes,fakeddit@r0.02,1,10,0.4021003021903938,0.8703640347271957,0.8588701817922209,homophily=0.915 edges=12522,,0.69
var:all_changes,fakeddit@r0.02,2,10,0.37970870719609445,0.7911693673167398,0.750493793569585,homophily=0.913 edges=12513,,0.77
var:all_changes,fakeddit@r0.1,1,10,0.3178406252205217,0.565345874526892,0.5120572591559182,homophily=0.682 edges=12442,,0.62
var:all_changes,fakeddit@r0.25,0,10,0.20248679982368575,0.28090354176675936,0.13441114323154707,homophily=0.467 edges=12589,,0.55
var:all_changes,fakeddit@r0.1,2,10,0.29730309537444993,0.44132863529302246,0.4429494285857511,homophily=0.679 edges=12516,,0.66
var:all_changes,fakeddit@r0.25,1,10,0.20056343976135427,0.2795867407978373,0.13464048405657225,homophily=0.461 edges=12519,,0.61
var:all_changes,fakeddit@r0.25,2,10,0.20122567923142198,0.29594026116842176,0.13577920242752384,homophily=0.460 edges=12618,,0.61
var:all_changes,fakeddit@r0.5,1,10,0.12785396103982954,0.02267379448412188,0.19345994785777149,homophily=0.301 edges=12578,,0.64
var:all_changes,fakeddit@r0.5,0,10,0.12719289448332674,0.025631082383892112,0.18650380960572702,homophily=0.306 edges=12621,,0.67
var:all_changes,fakeddit@r0.5,2,10,0.1294851761834599,0.020664431866007082,0.17841073167612276,homophily=0.291 edges=12618,,0.66
var:all_changes,fakeddit@r1.0,0,10,0.14145229884260613,0.0,0.1328452699706043,homophily=0.182 edges=12562,,0.59
var:all_changes,fakeddit@r1.0,2,10,0.14584982022400964,0.0,0.11755201875443792,homophily=0.173 edges=12631,,0.58
var:all_changes,fakeddit@r1.0,1,10,0.14488533987952246,0.0,0.12216178185034546,homophily=0.178 edges=12585,,0.66
base:louvain,fakeddit_real_lcc,0,21,0.9112186617370746,0.3132431794118209,0.6275532403387196,homophily=0.907 edges=9261,,0.11
base:louvain,fakeddit_real_lcc,1,21,0.9112186617370746,0.3132431794118209,0.6275532403387196,homophily=0.907 edges=9261,,0.08
base:louvain,fakeddit_real_lcc,2,21,0.9112186617370746,0.3132431794118209,0.6275532403387196,homophily=0.907 edges=9261,,0.09
base:louvain,crisismmd@r0.02,0,9,0.6585055222186672,0.7079813170251392,0.8467585033976404,homophily=0.927 edges=4884,,0.27
base:louvain,crisismmd@r0.02,1,10,0.6530091146779894,0.7392908255840223,0.9362646716614547,homophily=0.922 edges=4926,,0.11
