condition,severity,method,seed,k,n,avg_degree,onmi,modularity,f1,mean_umax,collapsed,wall_fit_s,peak_rss_mb,success,error
mismatch,0.0,nfmcd_default,0,32,8000,17.92875,0.02288883270107256,0.058502891448240286,0.03544962684941681,0.03125461787773375,True,15.235000000000582,610.578432,True,
mismatch,0.0,nfmcd_default,1,32,8000,17.86025,0.02380263322004439,0.05760738911646614,0.019585733109029734,0.0312549167323667,True,15.359000000004016,607.510528,True,
mismatch,0.0,nfmcd_default,2,32,8000,18.08425,0.018962927065131696,0.06484747694362857,0.047550465314703146,0.031255183619833746,True,15.73399999999674,627.73248,True,
mismatch,0.2,nfmcd_default,0,32,8000,17.92875,0.024203194655950666,0.05958594848712298,0.023059504210100015,0.03125176577094295,True,13.469000000004598,608.313344,True,
mismatch,0.2,nfmcd_default,1,32,8000,17.86025,0.026376672055782757,0.05514140125290294,0.03379919631746552,0.03125187636321281,True,13.312000000005355,609.91488,True,
mismatch,0.2,nfmcd_default,2,32,8000,18.08425,0.015249984100169645,0.06362573943004196,0.06490450194255327,0.031251749058795145,True,13.530999999995402,609.742848,True,
mismatch,0.4,nfmcd_default,0,32,8000,17.92875,0.00586126165983103,0.051803119855411986,0.06884110459492519,0.03125042179292927,True,12.06199999999808,607.358976,True,
mismatch,0.4,nfmcd_default,1,32,8000,17.86025,0.0,0.05493127986550738,0.0666093255515996,0.03125056285295611,True,13.015999999995984,624.47616,True,
mismatch,0.4,nfmcd_default,2,32,8000,18.08425,0.0,0.05106797617920311,0.11201550807817684,0.0312503584442388,True,13.0,626.823168,True,
mismatch,0.0,nfmcd_robust,0,32,8000,17.92875,0.7560901100706122,0.17505915199036734,0.8674521553921719,0.5272377284939235,False,11.905999999995402,548.429824,True,
mismatch,0.0,nfmcd_robust,1,32,8000,17.86025,0.664078944573607,0.16637974565919741,0.7603431243781378,0.4685361280392878,False,12.328000000001339,548.388864,True,
mismatch,0.0,nfmcd_robust,2,32,8000,18.08425,0.7638414736598791,0.17177569047057348,0.8641192277912833,0.5478507509071247,False,11.656000000002678,550.977536,True,
mismatch,0.2,nfmcd_robust,0,32,8000,17.92875,0.6395506707020844,0.15782540037874185,0.7591963260840724,0.5385452953787632,False,11.485000000000582,548.59776,True,
mismatch,0.2,nfmcd_robust,1,32,8000,17.86025,0.586109920505422,0.1538985950854764,0.7277890837251226,0.522073174143844,False,11.406000000002678,571.928576,True,
mismatch,0.2,nfmcd_robust,2,32,8000,18.08425,0.5531774462861987,0.1472034484577172,0.6631308729510896,0.47785465970159463,False,10.625,551.64928,True,
mismatch,0.4,nfmcd_robust,0,32,8000,17.92875,0.6453303003831414,0.1555133031234841,0.8114600085008878,0.7179333022259542,False,9.48399999999674,548.282368,True,
mismatch,0.4,nfmcd_robust,1,32,8000,17.86025,0.6584139620784618,0.1583210293724509,0.8143263302471557,0.7120319377925878,False,11.187000000005355,548.622336,True,
mismatch,0.4,nfmcd_robust,2,32,8000,18.08425,0.6340303574695456,0.1536867799744378,0.79927892254951,0.6832010672821843,False,11.171999999998661,589.307904,True,
mismatch,0.0,louvain,0,32,8000,17.92875,0.0,0.0650596732286547,0.08333578005872902,,,1.9219999999986612,312.840192,True,
mismatch,0.0,louvain,1,32,8000,17.86025,0.0,0.06716144149697925,0.08310241032589802,,,2.7809999999954016,313.42592,True,
mismatch,0.0,louvain,2,32,8000,18.08425,0.0,0.06531383680562586,0.0851179189196701,,,2.3590000000040163,312.492032,True,
mismatch,0.2,louvain,0,32,8000,17.92875,0.0,0.0650596732286547,0.08333578005872902,,,1.9680000000007567,313.97888,True,
mismatch,0.2,louvain,1,32,8000,17.86025,0.0,0.06716144149697925,0.08310241032589802,,,2.7660000000032596,315.871232,True,
mismatch,0.2,louvain,2,32,8000,18.08425,0.0,0.06531383680562586,0.0851179189196701,,,2.375,312.09472,True,
mismatch,0.4,louvain,0,32,8000,17.92875,0.0,0.0650596732286547,0.08333578005872902,,,1.9210000000020955,312.500224,True,
mismatch,0.4,louvain,1,32,8000,17.86025,0.0,0.06716144149697925,0.08310241032589802,,,2.7660000000032596,315.727872,True,
mismatch,0.4,louvain,2,32,8000,18.08425,0.0,0.06531383680562586,0.0851179189196701,,,2.3909999999959837,311.99232,True,
mismatch,0.0,spectral_graph_content,0,32,8000,17.92875,0.7501617195683142,0.15782808381046956,0.8699502477642437,,,10.047000000005937,3931.09504,True,
mismatch,0.0,spectral_graph_content,1,32,8000,17.86025,0.7616972263336746,0.15880814298816479,0.8768706937065895,,,9.968000000000757,3931.774976,True,
mismatch,0.0,spectral_graph_content,2,32,8000,18.08425,0.7739205371608098,0.1611999781328802,0.8840520250968137,,,10.030999999995402,3931.078656,True,
mismatch,0.2,spectral_graph_content,0,32,8000,17.92875,0.6377007738987983,0.11212757000601332,0.7776098267180375,,,9.953000000001339,3931.324416,True,
