rate,blend,method,seed,n_nodes,true_overlap_rate,n_true_overlap,auroc,ap,best_thr,best_f1,precision_at_best,recall_at_best,f1_at_0.2,precision_at_0.2,recall_at_0.2,second_comm_acc,n_eval_second,primary_onmi,primary_modularity,primary_f1,note,error,secs
0.3,0.3,slpa,1,300,0.2133,64,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.22
0.3,0.3,always_overlap,1,300,0.2133,64,,,,0.3516,0.2133,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,always_no_overlap,1,300,0.2133,64,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,nfmcd_default,2,300,0.2167,65,0.6432078559738135,0.4210974658467993,0.1,0.40816326530612246,0.36585365853658536,0.46153846153846156,0.16,0.6,0.09230769230769231,0.5692,65,0.7169,0.4228,0.9039,,,0.14
0.3,0.3,nfmcd_robust,2,300,0.2167,65,0.6077905073649754,0.32892917178760217,0.05,0.34285714285714286,0.32,0.36923076923076925,0.05882352941176471,0.6666666666666666,0.03076923076923077,0.7231,65,0.7339,0.4229,0.9043,,,0.12
0.3,0.3,demon,2,300,0.2167,65,,,,0.3601,0.2196,1.0,,,,,,,,,single fixed operating point,,0.2
0.3,0.3,slpa,2,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.2
0.3,0.3,always_overlap,2,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,always_no_overlap,2,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,nfmcd_default,3,300,0.2167,65,0.7123404255319149,0.4796013539428177,0.1,0.48648648648648646,0.43373493975903615,0.5538461538461539,0.16666666666666666,0.8571428571428571,0.09230769230769231,0.6,65,0.7279,0.4369,0.9053,,,0.16
0.3,0.3,nfmcd_robust,3,300,0.2167,65,0.6625859247135842,0.4204979284792132,0.05,0.39694656488549623,0.3939393939393939,0.4,0.11594202898550725,1.0,0.06153846153846154,0.7231,65,0.7481,0.4371,0.9092,,,0.14
0.3,0.3,demon,3,300,0.2167,65,,,,0.3571,0.2174,1.0,,,,,,,,,single fixed operating point,,0.14
0.3,0.3,slpa,3,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.27
0.3,0.3,always_overlap,3,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,always_no_overlap,3,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,nfmcd_default,4,300,0.2167,65,0.6813093289689035,0.3792240222446135,0.05,0.4313725490196079,0.2894736842105263,0.8461538461538461,0.08219178082191782,0.375,0.046153846153846156,0.5385,65,0.7076,0.4549,0.8995,,,0.16
0.3,0.3,nfmcd_robust,4,300,0.2167,65,0.6326022913256957,0.3445224016567322,0.05,0.3064516129032258,0.3220338983050847,0.2923076923076923,0.08695652173913043,0.75,0.046153846153846156,0.7385,65,0.7341,0.4549,0.9049,,,0.12
0.3,0.3,demon,4,300,0.2167,65,,,,0.3571,0.2174,1.0,,,,,,,,,single fixed operating point,,0.19
0.3,0.3,slpa,4,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.2
0.3,0.3,always_overlap,4,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,always_no_overlap,4,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.5,nfmcd_default,0,300,0.2633,79,0.7989002806575405,0.6246083536761232,0.1,0.5810055865921788,0.52,0.6582278481012658,0.29473684210526313,0.875,0.17721518987341772,0.7468,79,0.721,0.4038,0.9014,,,0.12
0.3,0.5,nfmcd_robust,0,300,0.2633,79,0.7572598659717051,0.5443827686434689,0.05,0.4875,0.48148148148148145,0.4936708860759494,0.2173913043478261,0.7692307692307693,0.12658227848101267,0.8734,79,0.7118,0.4042,0.8966,,,0.12
