part,dataset,variant,k,seed,k_true,onmi,modularity,f1,error,secs
A,fakeddit_real_lcc,robust,6,1,6,0.19559573397441066,0.7245019977060639,0.35082438192583126,,0.39
A,fakeddit_real_lcc,robust,6,2,6,0.19480874474971133,0.7264733821878222,0.3509094249353258,,0.39
A,fakeddit_real_lcc,default,6,1,6,0.1421476531269955,0.5522990132665555,0.27249832332118,,0.55
A,fakeddit_real_lcc,default,6,2,6,0.09889430041556457,0.539708464837765,0.22137966064493023,,0.59
A,fakeddit_real_lcc,robust,7,0,6,0.17571193832905918,0.6941369016793939,0.3601319952313778,,0.33
A,fakeddit_real_lcc,robust,7,1,6,0.17321180688195004,0.6821268796801478,0.35025334553106774,,0.39
A,fakeddit_real_lcc,default,7,1,6,0.11114847410537576,0.6184442864100149,0.17344308638895814,,0.52
A,fakeddit_real_lcc,default,7,0,6,0.0994460962542405,0.5071962797524677,0.15355944395245705,,0.62
A,fakeddit_real_lcc,robust,7,2,6,0.17775830924339175,0.6940480903875785,0.35255041937747705,,0.41
A,fakeddit_real_lcc,default,7,2,6,0.1000496559073667,0.5117291535197214,0.1549742813252104,,0.59
A,fakeddit_real_lcc,robust,8,0,6,0.2566512757466628,0.7330217429327368,0.4872868605645441,,0.3
A,fakeddit_real_lcc,robust,8,2,6,0.2601573334079852,0.7359615226156724,0.4919511637449629,,0.27
A,fakeddit_real_lcc,robust,8,1,6,0.26099133361928484,0.730730680941021,0.49069311400192345,,0.38
A,fakeddit_real_lcc,default,8,1,6,0.10716360882034315,0.610555174810809,0.14598513947986644,,0.48
A,fakeddit_real_lcc,default,8,2,6,0.10217562085567189,0.5338571916992724,0.15337296274478301,,0.53
A,fakeddit_real_lcc,default,8,0,6,0.10209468657196363,0.5308323609505435,0.1528490119815931,,0.69
A,fakeddit_real_lcc,robust,9,0,6,0.23390613025445095,0.8440532538483347,0.3970746547624271,,0.31
A,fakeddit_real_lcc,robust,9,1,6,0.2351727607720684,0.8434065940792634,0.3981473445800931,,0.33
A,fakeddit_real_lcc,default,9,0,6,0.1285138165206987,0.4500278670641989,0.22349639879501337,,0.53
A,fakeddit_real_lcc,default,9,1,6,0.10672867837747213,0.612995456562621,0.14634742477255322,,0.56
A,fakeddit_real_lcc,robust,9,2,6,0.23667687257806236,0.8440569382868557,0.39979574319780126,,0.42
A,fakeddit_real_lcc,default,9,2,6,0.10591138830286351,0.6146695441665131,0.1454898447795197,,0.66
A,fakeddit_real_lcc,robust,10,0,6,0.25661035948369637,0.8620771714742701,0.5053699740571106,,0.28
A,fakeddit_real_lcc,default,10,0,6,0.14191672933140287,0.45509828408818914,0.25016367694092817,,0.48
A,fakeddit_real_lcc,robust,10,1,6,0.2559364854491102,0.8621814667355656,0.503008903483179,,0.3
A,fakeddit_real_lcc,default,10,1,6,0.12926032767801587,0.5634649665454732,0.2395036684184154,,0.48
A,fakeddit_real_lcc,robust,10,2,6,0.25628533155246547,0.8608468022006032,0.5032058661303803,,0.26
A,fakeddit_real_lcc,default,10,2,6,0.13840272809267617,0.5743747988789186,0.24811653249571278,,0.55
A,fakeddit_real_lcc,robust,11,1,6,0.3118853654357938,0.8380832450146602,0.5779381759253512,,0.31
A,fakeddit_real_lcc,robust,11,0,6,0.3094228069656806,0.8375889939105442,0.5753134140794778,,0.38
A,fakeddit_real_lcc,default,11,0,6,0.1339984619470449,0.3334605688882676,0.27605641744660947,,0.56
A,fakeddit_real_lcc,robust,11,2,6,0.3124803821661303,0.8376097363666476,0.5793306985527907,,0.39
A,fakeddit_real_lcc,default,11,2,6,0.09390960653322455,0.5184348432873629,0.16239731599674578,,0.53
A,fakeddit_real_lcc,default,11,1,6,0.07239007309099876,0.3732952432347966,0.17217267064932554,,0.59
A,fakeddit_real_lcc,robust,12,0,6,0.3112873662445341,0.8375436963040452,0.5975581565730615,,0.31
A,fakeddit_real_lcc,robust,12,1,6,0.31117939312086906,0.843759571451296,0.5969194343467475,,0.41
A,fakeddit_real_lcc,default,12,2,6,0.16777265204820258,0.3496160389485261,0.27934481424968743,,0.45
A,fakeddit_real_lcc,robust,12,2,6,0.31116360959363654,0.8379341709997588,0.597928753329724,,0.45
A,fakeddit_real_lcc,default,12,1,6,0.09533687349153475,0.5053081740749357,0.17359405154733618,,0.66
A,fakeddit_real_lcc,default,12,0,6,0.12524830824609712,0.31599455803766624,0.2903982352258214,,0.69
A,fakeddit_real_lcc,robust,13,1,6,0.3289368549725957,0.8400394894855977,0.6033762818346246,,0.31
