dataset,scheme,p,method,seed,k_used,onmi,modularity,f1,frac_nocontent,mean_conf,mean_alpha,acc_overall,acc_affected,acc_background,n_affected,n_background,error,secs
crisismmd,by_community,0.60,kmeans_content,1,7,0.24688633998992482,0.17500231462877597,0.437615992358864,0.36375,nan,nan,0.51875,1.0,0.3463497453310696,211.0,589.0,,0.31
crisismmd,by_community,0.80,spectral_graph+content,0,7,0.7621332861226509,0.504719018709522,0.889006236453991,0.40875,nan,nan,0.93875,1.0,0.9168081494057725,211.0,589.0,,0.09
crisismmd,by_community,0.80,nfmcd_robust,2,7,0.5505130108603271,0.5145500305179568,0.7636714105017123,0.41875,0.06332603568921032,0.19432822498244717,0.8975,0.9478672985781991,0.8794567062818336,211.0,589.0,,0.16
crisismmd,by_community,0.80,nfmcd_robust,0,7,0.6804545492495304,0.46394523778674046,0.7232041685741926,0.40875,0.08324084850439178,0.2082685939530742,0.8,0.95260663507109,0.7453310696095077,211.0,589.0,,0.22
crisismmd,by_community,0.80,spectral_graph+content,1,7,0.7416775506864998,0.5180607983634727,0.8601816816570774,0.4425,nan,nan,0.9375,1.0,0.9151103565365025,211.0,589.0,,0.09
crisismmd,by_community,0.80,nfmcd_robust,1,7,0.6728589494343138,0.4668744303116003,0.722744440568662,0.4425,0.08571830995331771,0.21000281696732234,0.82,0.957345971563981,0.7707979626485568,211.0,589.0,,0.2
crisismmd,by_community,0.80,spectral_graph+content,2,7,0.6141687795324352,0.48892287489570574,0.7008369390795799,0.41875,nan,nan,0.8525,1.0,0.799660441426146,211.0,589.0,,0.14
crisismmd,by_community,0.80,kmeans_content,0,7,0.12416958405347578,0.1510509795262142,0.3530385424547025,0.40875,nan,nan,0.45875,1.0,0.26485568760611206,211.0,589.0,,0.28
crisismmd,by_community,0.80,kmeans_content,1,7,0.16451551989388924,0.13127402983166364,0.38081958122438503,0.4425,nan,nan,0.465,1.0,0.2733446519524618,211.0,589.0,,0.31
crisismmd,by_community,0.80,kmeans_content,2,7,0.10446893613384312,0.14050003763232866,0.3565180276482732,0.41875,nan,nan,0.45875,1.0,0.26485568760611206,211.0,589.0,,0.3
crisismmd,by_degree_low,0.20,nfmcd_full,2,7,0.5727304804974243,0.5257619751655079,0.62999611712317,0.05,0.39070813317172276,0.4234956932202059,0.87875,0.62,0.965,200.0,600.0,,0.42
crisismmd,by_degree_low,0.20,nfmcd_full,0,7,0.5380900134350285,0.52082314516653,0.6340849616058419,0.06625,0.4237916720184948,0.44665417041294636,0.8775,0.61,0.9666666666666667,200.0,600.0,,0.48
crisismmd,by_degree_low,0.20,nfmcd_full,1,7,0.5577607463591566,0.5242500508632614,0.6273697351780884,0.065,0.41911336242466307,0.4433793536972641,0.8775,0.605,0.9683333333333334,200.0,600.0,,0.53
crisismmd,by_degree_low,0.20,nfmcd_robust,0,7,0.6316752105617586,0.5228738246800384,0.7377103073868704,0.06625,0.28282184174111735,0.3479752892187821,0.92125,0.745,0.98,200.0,600.0,,0.33
crisismmd,by_degree_low,0.20,nfmcd_robust,1,7,0.6708598769800276,0.46100690389021215,0.6842366167425487,0.065,0.2778357385034367,0.34448501695240563,0.83,0.695,0.875,200.0,600.0,,0.3
crisismmd,by_degree_low,0.20,spectral_graph+content,0,7,0.7494610777588085,0.509499098434834,0.8867075947514126,0.06625,nan,nan,0.93875,0.815,0.98,200.0,600.0,,0.12
crisismmd,by_degree_low,0.20,spectral_graph+content,1,7,0.7045180094677828,0.5025554212915139,0.8469849679985826,0.065,nan,nan,0.92125,0.725,0.9866666666666667,200.0,600.0,,0.14
crisismmd,by_degree_low,0.20,nfmcd_robust,2,7,0.6170451873791509,0.525614186170456,0.7311108539112486,0.05,0.25371209164251285,0.32759846414975896,0.91875,0.75,0.975,200.0,600.0,,0.38
crisismmd,by_degree_low,0.20,spectral_graph+content,2,7,0.5908289962026413,0.41587369276816255,0.7460164849449901,0.05,nan,nan,0.80375,0.665,0.85,200.0,600.0,,0.16
crisismmd,by_degree_low,0.20,kmeans_content,1,7,0.1098381282312011,0.07010658086300488,0.3709851713949547,0.065,nan,nan,0.37875,0.34,0.39166666666666666,200.0,600.0,,0.3
crisismmd,by_degree_low,0.20,kmeans_content,2,7,0.11738679320668532,0.0811287113079939,0.330093702848262,0.05,nan,nan,0.355,0.29,0.37666666666666665,200.0,600.0,,0.31
crisismmd,by_degree_low,0.40,nfmcd_full,0,7,0.5723454143338449,0.5238747316630883,0.7133246676728239,0.23125,0.2579051130251194,0.3305335791175835,0.91,0.735,0.9683333333333334,200.0,600.0,,0.28
crisismmd,by_degree_low,0.20,kmeans_content,0,7,0.13291783804330215,0.08186449759418761,0.38190122182496616,0.06625,nan,nan,0.4,0.395,0.40166666666666667,200.0,600.0,,0.36
crisismmd,by_degree_low,0.40,nfmcd_full,2,7,0.5926033585045088,0.5207719367504101,0.7157778420884429,0.23125,0.2549265512179192,0.32844858585254344,0.91,0.74,0.9666666666666667,200.0,600.0,,0.25
crisismmd,by_degree_low,0.40,nfmcd_full,1,7,0.5762609837881485,0.521078308671363,0.7187949493666175,0.215,0.2607673670215518,0.3325371569150862,0.90375,0.73,0.9616666666666667,200.0,600.0,,0.3
crisismmd,by_degree_low,0.40,spectral_graph+content,0,7,0.629651018908542,0.5204654602371042,0.7450662122771142,0.23125,nan,nan,0.90875,0.68,0.985,200.0,600.0,,0.12
crisismmd,by_degree_low,0.40,spectral_graph+content,1,7,0.4724527668922853,0.4945568675108999,0.629176482155916,0.215,nan,nan,0.85625,0.52,0.9683333333333334,200.0,600.0,,0.14
crisismmd,by_degree_low,0.40,spectral_graph+content,2,7,0.4663534635994844,0.4858764552613949,0.5907963286713507,0.23125,nan,nan,0.8175,0.455,0.9383333333333334,200.0,600.0,,0.16
crisismmd,by_degree_low,0.40,nfmcd_robust,0,7,0.6064454956691131,0.5166494082311086,0.7724747315570449,0.23125,0.14644975217698594,0.2525148265238901,0.90375,0.73,0.9616666666666667,200.0,600.0,,0.25
crisismmd,by_degree_low,0.40,nfmcd_robust,2,7,0.5935165262152777,0.5150751050494218,0.7589126704711403,0.23125,0.15605492724806486,0.2592384490736454,0.9025,0.73,0.96,200.0,600.0,,0.23
crisismmd,by_degree_low,0.40,nfmcd_robust,1,7,0.6699469188971804,0.4552534458892088,0.7223098023507498,0.215,0.15493400314077765,0.2584538021985443,0.81,0.725,0.8383333333333334,200.0,600.0,,0.25
crisismmd,by_degree_low,0.60,nfmcd_full,0,7,0.5996851963167696,0.5145713882764774,0.740626182071155,0.4275,0.18294772387462716,0.278063406712239,0.9,0.735,0.955,200.0,600.0,,0.19
crisismmd,by_degree_low,0.40,kmeans_content,0,7,0.052633360709089194,0.04425609964823081,0.2514702999516877,0.23125,nan,nan,0.30375,0.3,0.305,200.0,600.0,,0.27
crisismmd,by_degree_low,0.60,nfmcd_full,2,7,0.5956028784382118,0.5117718065956859,0.7578345287941518,0.4375,0.16176569300385324,0.2632359851026972,0.895,0.715,0.955,200.0,600.0,,0.17
crisismmd,by_degree_low,0.60,nfmcd_full,1,7,0.6279827467160347,0.4745875515603694,0.7311536190600639,0.44375,0.17667165572188442,0.27367015900531905,0.85625,0.735,0.8966666666666666,200.0,600.0,,0.25
crisismmd,by_degree_low,0.40,kmeans_content,2,7,0.10470568947938297,0.05361619484568046,0.28798300629354834,0.23125,nan,nan,0.3275,0.285,0.3416666666666667,200.0,600.0,,0.3
crisismmd,by_degree_low,0.40,kmeans_content,1,7,0.0500090590019181,0.04391908216779449,0.25062712990137975,0.215,nan,nan,0.29625,0.26,0.30833333333333335,200.0,600.0,,0.33
